anchor_id,anchor_label,n_docs,top_terms
DROUGHT SEVERITY,DROUGHT SEVERITY,2,drought; seed; time series; series; lui; density; sensors; time; sentinel-2; indices; richness; spatial
DORIS (DOPPLER ORBITOGRAPHY AND RADIOPOSITIONING BY INTEGRATED SATELLITE),DORIS (DOPPLER ORBITOGRAPHY AND RADIOPOSITIONING BY INTEGRATED SATELLITE),2,hyperspectral; regions abstract; biodiversity exploratories regions; exploratories regions; images; digital; exploratories; different levels; consecutive; accuracy; red; spatial resolution
DISSOLVED CO2,DISSOLVED CO2,2,doc; cwd; totholz; don; logs; release; net; freisetzung; tree species; runoff; tree; soils
DNA,DNA,2,genome; database; sequence; draft genome sequence; draft genome; draft; genome sequence; fungus; dsm; konnten; vergleiche; genom
CARBON FOOTPRINT,CARBON FOOTPRINT,2,co2; emission; rates; deadwood; totholz; schr; tree species; carbon; gut; positively; tree; carbon cycle
OCEAN COASTAL UPWELLING INDEX,OCEAN COASTAL UPWELLING INDEX,2,crown; error; trait; schätzung; phase; plot; sample; shape; space; multivariate; combinations; messung
RED ALGAE,RED ALGAE,2,nov; trifolium repens; repens; gen; holz; gen nov; trifolium; enzyme; novel; gattung; sequences; neue
RANGELAND,RANGELAND,2,different plots; abstract determined; host plant plantago; plant plantago lanceolata; plant plantago; alpha; shannon; host plant; host; plantago; plantago lanceolata; lanceolata
SENSOR COUNTS,SENSOR COUNTS,2,dendrometer; raw; title dendrometer; actual; see; pilzen; plant community; plant communities; plant biomass; plant; placed; place
POPULATION ABUNDANCE,POPULATION ABUNDANCE,2,primers; fauna; oribatida; community assembly; species level; genetic diversity; dependence; grassland eps; soil fauna; resilience; assembly; genetic
SAV/SEA GRASS BED,SAV/SEA GRASS BED,2,seed addition; sade; disturbance; seed; seed addition disturbance; vegetation records grassland; cover species; addition disturbance; addition disturbance experiment; addition; records grassland; disturbance experiment
FIJI INDEX,FIJI INDEX,2,structural; harvesting; vielfalt; index; waldtypen; strukturelle; diversity; forests; taxonomic groups; wäldern; types; developed
RIPARIAN WETLANDS,RIPARIAN WETLANDS,2,vorkommende; ectomycorrhiza; forest vip; species forest; vip; wald; schorfheide abstract; hainich abstract; schorfheide; hainich; species; forest
RNA SEQUENCING,RNA SEQUENCING,2,reaction; yeasts; diversity abundance; red; nevertheless; mentioned; fodder; abundance community; abstract assessment; crop; advantages; cutting
INDICATOR SPECIES,INDICATOR SPECIES,2,indicator; indikatoren; indicators; arthropods; beech forests; buchenwälder; species; dead wood; standorten; arthropoden; dead; saproxylic
INFORMATION MANAGEMENT SERVICES,INFORMATION MANAGEMENT SERVICES,2,funktionen; entwickelt; anwendung; genutzt; daten; welches; ressourcen; verwaltung; regel; reduzieren; modell; machen
MICROBIOME,MICROBIOME,2,bark; gemeinschaften; microbial communities; microbial; mikrobielle; communities; tree; beetle; wood; mikrobiellen gemeinschaften; fungi; taxa
LAND/OCEAN/ICE MASK,LAND/OCEAN/ICE MASK,2,coordinates; abstract file; grid; original; stored; points; measurements; file; title soil; schorfheide; taken; including
LIDAR,LIDAR,2,lidar; horizontal; single tree; canopy cover; laser scanning; laser; airborne; scanning; metrics; heterogeneity; canopy; derived
HEXAPODS,HEXAPODS,2,arthropod; arthropod species; effort; flight; body size; body; time series; series; fox; monitoring; set; dispersal ability
HIGH THROUGHPUT SEQUENCING,HIGH THROUGHPUT SEQUENCING,2,crown; inhabiting; htls; conservation; laser; wood; trees; upper; strategy; terrestrial laser scanning; terrestrial laser; laser scanning
PH,PH,2,vip plots abstract; vip plots; value; vip; title soil; plots abstract; soil solution; solution; mixed; measure; soil; sample
GAZETTEER SERVICE,GAZETTEER SERVICE,2,access; coordinates; files; points; schorfheide abstract; verjüngung; schorfheide; plot; projects; jahr; location; indicator
MICRONUTRIENTS/TRACE ELEMENTS,MICRONUTRIENTS/TRACE ELEMENTS,2,nutrients; trifolium; magnesium; taraxacum; escape abstract; chemistry; infer; escape; trifolium repens; resin; bags; calcium
PHOSPHOROUS,PHOSPHOROUS,2,phosphate; bscs; phosphor; release; kinetics; leicht; boden; soils; menge; crusts; waldböden; biogeochemical
MOLECULAR NITROGEN,MOLECULAR NITROGEN,2,nitrogen; deadwood; nitrogen fixation; fixation; deposition; decomposition; nitrogen deposition; biological; laboratory; logs; process; tree species
AGRICULTURAL LANDS,AGRICULTURAL LANDS,2,crop; agricultural; baden-württemberg; brandenburg; state; area; states; thüringer; institute; kind; august title; statistics
MAGNETIC ANOMALIES,MAGNETIC ANOMALIES,2,amf; abstract screening; molekulare; screening; veränderung; analysen; soil title; diversität; plots abstract; hainich; grasslands; diversity
VECTOR SPECIES,VECTOR SPECIES,2,ticks; vectors; birds; insect; density; factors climate; managed forests; vector; preliminary; various; weather conditions; factors
TROPICAL RAINFOREST,TROPICAL RAINFOREST,2,trophic; information; forest eps; species information; landscape level; diversity forest; richness abundance; outside; diversity; observational; connected; single species
ALLIGATORS/CROCODILES,ALLIGATORS/CROCODILES,1,snail; traits; life-history; preference; plots regions; species collected; categorical; drought resistance; humidity; alb hainich schorfheide; collected grassland; hainich schorfheide
ANGSTROM EXPONENT,ANGSTROM EXPONENT,1,land-use; spectra; spectral; land-use intensity; leaf; transform; cellulose; infrared; chemical composition; biochemical; millefolium; forb
VECTOR SOURCE,VECTOR SOURCE,1,locations; comprising; date; source; vips; research; experimental plots; central; information; experimental; plots; management
TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),1,point; positions; point clouds; clouds; scanner; gaps; fox; laser scanner; htls; scanned; add; fox plots
TROPICAL NORTH ATLANTIC INDEX,TROPICAL NORTH ATLANTIC INDEX,1,trophic; isotopes; niche; trophic level; diversity however; ants; well understood; species may; higher trophic; functional group; values; enrichment
TRANS-NINO INDEX,TRANS-NINO INDEX,1,time series; series; time; images; covering; forest eps abstract; schorfheide-chorin hainich-dün; forest eps; hainich-dün; eps abstract; schorfheide-chorin; eps
TOXIN CONCENTRATION,TOXIN CONCENTRATION,1,alkaloids; epichloë; able; uncinata; june-august abstract symbiotic; festuca pratensis; june-august abstract; able produce different; toxic vertebrates invertebrates; symbiotic epichloë endophytes; monitor infections; june-august
VISIBLE IMAGERY,VISIBLE IMAGERY,1,crown projection; projection; crown; title dendrometer; dendrometer; distance; pilz; plant; placed; place; plants title; plants grassland
VELOCITY AZIMUTH DISPLAY VERTICAL WIND PROFILES,VELOCITY AZIMUTH DISPLAY VERTICAL WIND PROFILES,1,vehicles; unmanned aerial vehicles; aerial vehicles; unmanned; unmanned aerial; aerial; images; can used; spatial; field work; regions abstract; training
BIOCHEMICAL OXYGEN DEMAND (BOD),BIOCHEMICAL OXYGEN DEMAND (BOD),1,bodens; wassergehalt; potentielle; genommen; grünland wald; grünland; abhängigkeit; beispiel; proben; landnutzungsintensität; wald; eigenschaft
BIOAVAILABILITY,BIOAVAILABILITY,1,flower; availability; different habitats; across grassland; title flower; visiting; determining; communities different; analyzing; networks; hainich abstract; units
BIDIRECTIONAL REFLECTANCE DISTRIBUTION FUNCTION,BIDIRECTIONAL REFLECTANCE DISTRIBUTION FUNCTION,1,hyperspectral; spectral; reflectance; infrared; remote; in-situ; index; optical; near; red; measurements; remote sensing
MARINE MAMMALS,MARINE MAMMALS,1,organismen; new species; strain; beschrieben; phylogenetic; anhand; bisher; genus; diversität; presence; characteristic; extrem
MAGNESIUM,MAGNESIUM,1,iron; sampling compaign; compaign may; sampling compaign may; coordinated sampling compaign; compaign; title soil sampling; taken coordinated; taken coordinated sampling; samples taken coordinated; coordinated sampling; sampling campaign experimental
NITRATE,NITRATE,1,hainich-dün schorfheide; hainich-dün schorfheide chorin; ammonium nitrate; beech pine; schorfheide chorin; chorin; ammonium; uptake; pine; nitrate; roots; trees
NIGHTTIME LIGHTS,NIGHTTIME LIGHTS,1,weather conditions; flight; now; weather; acquired; please; aerial; full; exploratories abstract; airborne; obtained; hai
MUSEUM EXHIBITS,MUSEUM EXHIBITS,1,basic; coordinates; public; functional biodiversity research; large-scale long-term; functional biodiversity; project abstract; biodiversity research; called; biodiversity exploratories project; exploratories; biodiversity
MOLECULAR OXYGEN,MOLECULAR OXYGEN,1,co2; conditions; incubations; mineral-associated; mineralization; minerals; organic; incubation; laboratory; carbon; organic carbon; organic matter
METHYL CYANIDE,METHYL CYANIDE,1,carrion; synthetic; beetle; anoplotrupes; german forests; cadaver; mixtures; title abundance; uses; abstract investigated; forest plots abstract; dung
METHANOL,METHANOL,1,methylotrophs; genotypes; soils; böden; atmosphäre; diversität; bislang; aktivität; concentrations; pflanzen; similar; overlooked
METAMORPHIC ROCK AGE DETERMINATIONS,METAMORPHIC ROCK AGE DETERMINATIONS,1,title tree; age; vergleich; determination; verschiedener; tree; pilze; plant communities; plant biomass; plant; placed; place
METAGENOME,METAGENOME,1,spatially explicit; explicit; interesting; metadata; package; spatially; questions; heterogeneity; ecological; change; environmental; can
MODEL LOGS,MODEL LOGS,1,belongdead; photos; log; title belongdead; every; logs; alb abstract; alb; phytometers; plants grassland; plants can; plants abstract
MINERAL DISSOLUTION,MINERAL DISSOLUTION,1,maom; goethite; illite; stability; formed; organic; organic carbon; mineral-associated; microbial; carbon; decomposition; mineral
PHOSPHATE,PHOSPHATE,1,phosphate; release; kinetics; soils; reactive; pool; pools; grassland soils; forms; characterized; grassland forest; concentrations
PESTICIDES,PESTICIDES,1,grassland forest; substances; plots three german; experimental plots abstract; experimental plots; experimental plots three; biomass; agriculture; german regions schwäbische; get; forest experimental; forest experimental plots
PEANUT WORMS,PEANUT WORMS,1,root; verhalten; class; classes; feeding; behavior; agriotes; fressen; verschiedener; mass; vorhanden; werte
PATHOGEN,PATHOGEN,1,less; yeasts; peroxidase; can found; review; nearly; filamentous; organic compounds; protists; oxygen; mechanistic; whose
PASTURE,PASTURE,1,activity; common; predators; extensively managed; grasslands; land-use; prey; extensively; managed; intensity grassland; predator; managed grassland
PARTICLE SIZE DISTRIBUTION,PARTICLE SIZE DISTRIBUTION,1,tree diameter; diameter; forest eps; distribution; abstract tree; title tree; tree; classes; forest eps abstract; eps; eps abstract; forest
HYDROLOGICAL HAZARDS MAPPING,HYDROLOGICAL HAZARDS MAPPING,1,district; protected; mapping; carried; around; areas; alb abstract; region; alb; phytometer; plants can; plants abstract
HOGS/PIGS,HOGS/PIGS,1,size; abundance; beetles coleoptera; cadavers; piglet; cadaver; visiting; body size; fieldwork; body; coleoptera; measurement
MACROALGAE (SEAWEEDS),MACROALGAE (SEAWEEDS),1,sequences; lineages; lineage; formed; green; new; distinct; described; two; distribution; extended; green algal
LOESS,LOESS,1,ants; european beech; beech forest; beech; gastropods; european; seed; abundance; can found; dispersers; slugs; seed dispersal
LARVACEANS,LARVACEANS,1,sequencing; endophytic; miseq; comparison; clear; rather; root; implications; absent; fungi; rare species; poor
LANDSCAPE MANAGEMENT,LANDSCAPE MANAGEMENT,1,protection; brandenburg; areas; landscape; file state environmental; environmental office; environmental office brandenburg; state environmental office; file state; office brandenburg; office; state environmental
GEOLINKED DATA ACCESS SERVICE,GEOLINKED DATA ACCESS SERVICE,1,remote sensing; sensing; remote; orientation; eps may; georeferenced; serves; geographically; transfer; error; linking; usually
GEOGRAPHIC DATA MANAGEMENT SERVICES,GEOGRAPHIC DATA MANAGEMENT SERVICES,1,subset; input; land; yearly; plots three exploratories; land use grasslands; use grasslands; management; title grassland; abstract used; computer; grazed
GEOENGINEERING,GEOENGINEERING,1,beobachtungen; observations; linear; mixed; designed; zwei; methoden; seite; beispiele; korrelationen; linearen; examples
GAZETTEER APPLICATION SERVICES,GAZETTEER APPLICATION SERVICES,1,dendrometer; relation; base; title dendrometer; number; pilze; plant communities; plant biomass; plant; placed; place; plants title
ISOTOPIC AGE,ISOTOPIC AGE,1,configuration; messung; zeitraum; estimating; jahre; title dendrometer; dendrometer; change; picea; plants title; plants grassland; plants can
INCREASED/DECREASED CLOUD FRACTION,INCREASED/DECREASED CLOUD FRACTION,1,rock; volume; soil organic carbon; bestimmung; literature; soil organic; density; stock; organic carbon; fragments; bulk density; calculation
IMAGE PROCESSING,IMAGE PROCESSING,1,online; locations; code; individually; machine; reflect; note; restricted; researchers; please; generation; comprising
ICE CORE RECORDS,ICE CORE RECORDS,1,list; names; arthropods; species; scientific; name; core; traps; morphologically; identities; species identities; species collected
PALMER HYDROLOGICAL DROUGHT INDEX,PALMER HYDROLOGICAL DROUGHT INDEX,1,drought; temperate grassland species; drought resistance; temperate grassland; grassland species; resistance; point; loss; understanding mechanisms; differential; promotes; herbaceous
RADIOCARBON,RADIOCARBON,1,radiocarbon; fine roots; fine; roots; sampling compaign may; sampling compaign; coordinated sampling compaign; compaign; compaign may; sampling campaign forest; samples taken coordinated; taken coordinated
PRESENT WEATHER,PRESENT WEATHER,1,monthly; meteorological; air temperature; mean values; internal; duration; access; air; sets; open; precipitation; temperature
POTENTIAL EVAPOTRANSPIRATION,POTENTIAL EVAPOTRANSPIRATION,1,water; flux; fluxes; simplified; comprise; downward; evapotranspiration; balance; grassland eps; grassland vips; actual; layer
FIRST LEAF DATE,FIRST LEAF DATE,1,leaf litter; parameters; litter; leaf; title leaf; every; exploratory; spring; measured; plots; physiology; plants abstract
HAPTOPHYTES,HAPTOPHYTES,1,nov; strains; novel; strain; nov type; nov type strain; lmg; gen nov; closest; c16; sequence similarity; gen
GROWTH STAGE,GROWTH STAGE,1,beech; attack; buchenwäldern; scale; bäume; bark; beech forest; european beech; long-term; august; insgesamt; rolle
GROWING DEGREE DAYS,GROWING DEGREE DAYS,1,dung; rates; process rates; whether; process; seed; experiments; vegetation height; processes dung; medium-term; climate land use; climate land
GROUNDING LINE,GROUNDING LINE,1,crown; lidar; ground; forest eps; field; hainich; eps; three; forest; physiology; plants abstract; plants
GREBES,GREBES,1,trap; traps; small mammals; mammals; diameter; spider; larger; small; coleoptera; size; caught; spiders
GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY,GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY,1,slope; forest grassland eps; aspect; topographic; exploratories regions; elevation; contain; attributes; bexis; specifically; regarding; resolution
POINT BAR,POINT BAR,1,waldinventur; title forest inventory; features; title forest; forest inventory; inventory; forest; pilz; plant; placed; place; plants title
PILEUS,PILEUS,1,flowers; open; patch; footprints; bumblebee; patches; sample; assess; collected; average; local; mesh
SANDPIPERS,SANDPIPERS,1,spider; traps; grassland eps abstract; grassland eps; eps abstract; eps; grassland; piglet; placed; place; plants title; plants grassland
ROTIFERS,ROTIFERS,1,ticks; sampling conducted; district; incidence; schwäbische alb abstract; contact; possibly; decaying; reported; first time; occurred; baden-württemberg
ROOT ZONE SOIL MOISTURE,ROOT ZONE SOIL MOISTURE,1,root; fine roots; collected; plot; diameter; fine; roots; resulting; depth; soil sampling; elemental; symbiosis
RIPPLES,RIPPLES,1,decay; pinus; plant growth; plant functional; plant diversity; plant community; plant communities; plant biomass; plant; placed; place; plants title
ENFORCEMENT,ENFORCEMENT,1,bird; state environmental office; file state environmental; environmental office; environmental office brandenburg; office; office brandenburg; file state; state environmental; title schorfheide; brandenburg; state
ELEMENTAL CARBON,ELEMENTAL CARBON,1,fall; litter; top; vector; forest vips; title litter; forms; input; forest stands; element; layer; mineral soil
ELECTRICAL PROPERTIES,ELECTRICAL PROPERTIES,1,error; connection; signal; kind; maintenance; code; title dendrometer; dendrometer; information; third; besides; measurement
ELECTRICAL INTENSITY,ELECTRICAL INTENSITY,1,test; pinus sylvestris; plant life; plant growth; plant functional; plant diversity; plant community; plant communities; plant biomass; plant; placed; place
EARTHWORMS,EARTHWORMS,1,forest eps; spring abstract; species forest; eps; spring; sampled; forest; community; species; picea abies; place; plants title
EARTH SCIENCE SERVICES,EARTH SCIENCE SERVICES,1,main tree species; main tree; soil types; plots eps abstract; experimental plots; basic; coordinates; information; experimental; plots eps; experimental plots eps; see
FREEZING DRIZZLE,FREEZING DRIZZLE,1,dom; title influence; liquid; optical; testing; dissolved organic; dissolved; influence; concentration; organic matter; matter; quality
FORMAT CONVERSION SERVICES,FORMAT CONVERSION SERVICES,1,format; matrix; transform; title script; prefer; apply; just; usage; regular; script; table; file
DESKTOP GEOGRAPHIC INFORMATION SYSTEMS,DESKTOP GEOGRAPHIC INFORMATION SYSTEMS,1,processing; database; ermöglicht; sensors; aggregation; scientists; daten; access; flow; anwendung; enables; easy
DESERT SCRUB,DESERT SCRUB,1,sch alb; abstract waldinventur; rund; zersetzung; waldinventur; title forest inventory; title forest; forest inventory; sch; alb abstract; inventory; tree
DEPOSITION,DEPOSITION,1,crown projection; projection; crown; title dendrometer; dendrometer; pilze; plant communities; plant biomass; plant; placed; place; plants title
DEGRADATION,DEGRADATION,1,decay; pinus; plant growth; plant functional; plant diversity; plant community; plant communities; plant biomass; plant; placed; place; plants title
EVAPOTRANSPIRATION,EVAPOTRANSPIRATION,1,flux; water; two soil; use plant; downward; land use plant; soil layers; evapotranspiration; grassland vips abstract; agriculturally; managed grassland; abstract investigated
ENVIRONMENTAL DNA (eDNA),ENVIRONMENTAL DNA (eDNA),1,soil bacterial; bacterial diversity; bacterial; diversity community composition; abstract file; diversity community; rrna gene; stored; forest soil; fine; rrna; diversity
RESAMPLING,RESAMPLING,1,immer; aller; regeneration; schwäbischen; allen; inventory; pilz; plant; placed; place; plants title; plants grassland
RECLAMATION/REVEGETATION/RESTORATION,RECLAMATION/REVEGETATION/RESTORATION,1,original; goals; script; values; site; selected; abstract script; title script; per; reached; calculation; allowing
SOFT CORALS,SOFT CORALS,1,vier; ticks; sampling sites; baden-württemberg; report; association; four; sampling; material; first; erster; district
SNOW GRAINS,SNOW GRAINS,1,resin; bags; nutrients; material; bag; mean values; caught; contact; incubated; filled; incubation; nitrate
SIGMA NAUGHT,SIGMA NAUGHT,1,signal; connection; kind; error; maintenance; code; title dendrometer; dendrometer; information; third; besides; measurement
SELF-SUPERVISED,SELF-SUPERVISED,1,neural network; neural; network; publicly available; publicly; recording; automatically; interested; enable; contains; obtain; behind
CRYOSPHERIC INDICATORS,CRYOSPHERIC INDICATORS,1,understorey; precipitation; hydrological; address; drought; climate change; direct; forest; growth; functions; severely; title bedry
CRYOSOLS,CRYOSOLS,1,crust; soil crust; stability; organic matter; matter; title crustfunction; compartments biological soil; gives; compartments biological; crust-free soil; mass spectrometry; determined
COUNTRY BOUNDARIES,COUNTRY BOUNDARIES,1,national park; park; national; park hainich; national park hainich; hainich; picea abies; place; plants title; plants grassland; plants can; plants abstract
CORAL REEF EXTENT,CORAL REEF EXTENT,1,gap experiment fox; gap experiment; forest gap experiment; forest gap; experiment fox; description; fox; gap; experiment; fox abstract; biodiversity exploratories regions; exploratories regions
EAGLES/FALCONS/HAWKS AND ALLIES,EAGLES/FALCONS/HAWKS AND ALLIES,1,bird; birds; autumn; prunus; shrubs; number; assemblages; bird species; spring; individuals; probably; damage
DOGS/FOXES/WOLVES,DOGS/FOXES/WOLVES,1,kot; höchste; waldflächen; artengemeinschaften; grünland; gebieten; gattung; dung; sowie; worden; unterscheiden; allen
SEISMIC PROFILE,SEISMIC PROFILE,1,description; plots vip; biodiversity exploratories soil; exploratories soil; coordinated; grassland forest plots; soil; carried; subplot; survey; vip plots; plots biodiversity
SEDIMENTARY STRUCTURES,SEDIMENTARY STRUCTURES,1,beech stands; genetic; stands; spatial; beech; structure; analysed; pilz; plant; placed; place; plants title
SEDIMENTARY ROCK AGE DETERMINATIONS,SEDIMENTARY ROCK AGE DETERMINATIONS,1,ermittlung; entlang; bewirtschaftungsintensität; methoden; mittels; pilz; plant; placed; place; plants title; plants grassland; plants can
SEDIMENT COMPOSITION,SEDIMENT COMPOSITION,1,bank; sade; seed; sade experiment; disturbed; mips; treatments; control; determined; experiment; composition; plots
SEA URCHINS,SEA URCHINS,1,reserve; title schorfheide; biosphere; files; schorfheide; schorfheide-chorin; pilze; plant communities; plant biomass; plant; placed; place
SEA ICE TOPOGRAPHY,SEA ICE TOPOGRAPHY,1,geworden; worden; pine forest; plant functional; plant diversity; plant community; plant communities; plant biomass; plant; placed; place; plants title
SOIL WATER HOLDING CAPACITY,SOIL WATER HOLDING CAPACITY,1,capacity; generation; agriculturally; deeper; matrix; varying; biodiversity; soils; affects; given; exploratory; schwäbische
SOIL POROSITY,SOIL POROSITY,1,weight; earth; fine; stones; vip plots abstract; small scale; vip plots; variability; roots; vip; scale; title soil
SOIL PH,SOIL PH,1,grid plots; grid; title soil; plots abstract; soil; plots; pilze; plant communities; plant biomass; plant; placed; place
CHLOROPHYLL,CHLOROPHYLL,1,weight; leaf; methylotrophs; gramm; facultative; selected plots; plots exploratories; per; fresh; list; alb hainich-dün schorfheide-chorin; hainich-dün schorfheide-chorin
CETACEANS,CETACEANS,1,flechten; deutschlands; taxa; ausnahme; vorkommenden; umfasst; bezug; denen; damit; may; physiology; plants abstract
DATA NETWORKING/DATA TRANSFER TOOLS,DATA NETWORKING/DATA TRANSFER TOOLS,1,matrix; format; script; long; table; wide; file; back; usage; benefits; otu; header
CYCADS,CYCADS,1,draft genome; draft; ubiquitous; genome; gene; groß; genom; saprotrophic; pilz; isoliert; verbreiteten; vorhergesagt
CUMULUS CONGESTUS,CUMULUS CONGESTUS,1,nov; strain; ω7c; novel; isolated; isolated grassland; isolated grassland soil; gen nov; c18; gen; grassland soil; cells
SOIL INFILTRATION,SOIL INFILTRATION,1,abstract screening; screening; fungal; fungi; soil; pilze; plant communities; plant biomass; plant; placed; place; plants title
SOIL IMPEDANCE,SOIL IMPEDANCE,1,title beech; title beech exclusion; beech exclusion; inventory abstract; exclusion; inventory; beech; soil; picea abies; place; plants title; plants grassland
SOIL DEPTH,SOIL DEPTH,1,title beech; title beech exclusion; beech exclusion; exclusion; soil abstract; bodens; beech; soil; piglet; placed; place; plants title
SOIL BULK DENSITY,SOIL BULK DENSITY,1,physical; soil; density; across grassland; parent material; eps biodiversity exploratories; parent; plots eps biodiversity; eps biodiversity; content soil; carbon content; soil texture
SULFUR DIOXIDE PROFILES,SULFUR DIOXIDE PROFILES,1,samples vip; samples vip plots; vip plots abstract; title minsoil; minsoil; iron; vip plots; forest soil; mixed; soil samples; vip; plots abstract
SULFUR,SULFUR,1,sulfur; fractions; intensity across; forest vip plots; collected may; forest vips; forest vip; soil cores; extractable; cores; across plots biodiversity; biodiversity exploratories contains
SULFATE,SULFATE,1,smi; contents; signifikant; inorganic; anthropogenic; einflüsse; schorfheide-chorin; soil; increasing; anthropogenen; silvicultural management; anthropogene
SUBSCRIPTION SERVICES,SUBSCRIPTION SERVICES,1,waldinventur; signature; sch alb; abstract waldinventur; rund; title forest inventory; title forest; forest inventory; sch; alb abstract; inventory; alb
STRATOCUMULUS MAMMATUS,STRATOCUMULUS MAMMATUS,1,brandenburg; flora; taraxacum; ranunculus; achillea; taxa; contribution; trifolium; veränderungen; first; beiträge; entdeckt
BIOTURBATION,BIOTURBATION,1,spring abstract; earthworms; chemistry; forest eps; spring; biomass; important; eps; soil; forest; physiology; plants abstract
BIOLOGICAL RECORDS,BIOLOGICAL RECORDS,1,bats; alb hai sch; abstract assessment; free; alb hai; hai sch; ranging; recorded; assessment; hai; sch; activity
BIOINFORMATICS,BIOINFORMATICS,1,processing; feature; easy; required; releases; coding; aggregation; will; flexible; practice; future; sets
CODS/HADDOCKS,CODS/HADDOCKS,1,verschiedenen; allem; welchen einfluss; familie; welchen; konnten; gattung; studie; dung; einfluss; insgesamt; grünland
CLOUD INDICATORS,CLOUD INDICATORS,1,dendrometer; table abstract; status; title dendrometer; table; pine; plant diversity; plant community; plant communities; plant biomass; plant; placed
CLIMATE WARMING,CLIMATE WARMING,1,across species; survival; rate; moths; days; varied; across; summer; decreased; treatments; temperature; average
TERRAIN ELEVATION,TERRAIN ELEVATION,1,distances; calculated; plots three exploratories; experimental plots three; coordinates; three exploratories; plots three; year; plots; available; experimental plots; experimental
SWAMPS,SWAMPS,1,sampling dates; dates; arthropod; sampling; contains information; abstract contains; grassland eps abstract; contains; grassland eps; eps abstract; information; grasslands
CARBON CYCLE/CARBON BUDGET MODELS,CARBON CYCLE/CARBON BUDGET MODELS,1,date; list; sample; collection; plot; pilze; plant communities; plant biomass; plant; placed; place; plants title
CALIBRATION,CALIBRATION,1,calibration; title dendrometer; dendrometer; daten; pilze; plant communities; plant biomass; plant; placed; place; plants title; plants grassland
BOUNDARY SURVEYS,BOUNDARY SURVEYS,1,three exploratory; three exploratory regions; three regions biodiversity; exploratory regions; regions biodiversity; regions biodiversity exploratories; format; project abstract; biodiversity exploratories project; exploratories project; actual; regions schwäbische
BOTTOM COVER TYPE,BOTTOM COVER TYPE,1,title beech; title beech exclusion; beech exclusion; exclusion; cover; beech; soil; pilz; plant; placed; place; plants title
SPECIES DOMINANCE INDICES,SPECIES DOMINANCE INDICES,1,beech pine; profiles; pine; abundance; pine forest; bacterial community composition; relative abundance; dominate; beech; abstract aim; bacterial community; dominated
SOLID EARTH,SOLID EARTH,1,weight; earth; fine; stones; small scale; variability; roots; scale; title soil; small; soil; piglet
WEB-BASED GEOGRAPHIC INFORMATION SYSTEMS,WEB-BASED GEOGRAPHIC INFORMATION SYSTEMS,1,system; exploratorium; geographical; geographic; information; abstract forest; alb abstract; alb; available; area; schwäbische; schwäbische alb
WEB SERVICES,WEB SERVICES,1,service; tools; statistical; functionality; integration; system; statistics; configuration; adding; web; information; systems
WATER RESOURCES,WATER RESOURCES,1,reserves; nature; brandenburg; environmental office brandenburg; file state environmental; environmental office; state environmental office; office; file state; office brandenburg; state environmental; title schorfheide
WATER IMPOUNDMENT,WATER IMPOUNDMENT,1,brandenburg; state; water; state environmental office; environmental office; environmental office brandenburg; file state environmental; office; file state; office brandenburg; protection; state environmental
VLBI (VERY LONG BASELINE INTERFEROMETRY),VLBI (VERY LONG BASELINE INTERFEROMETRY),1,imagery; auflösung; mapping; tree species; high-resolution; räumliche; tree; ermöglicht; baumarten; convolutional neural; learning; convolutional
AGGREGATION,AGGREGATION,1,scalemic; points; abundances abstract; top soil; grassland plot; time points; plot; assemblage; replicates; dates; title fungal; otu
AEROALLERGENS,AEROALLERGENS,1,vectors; captured; get; birds; different forest; insect; overview; numbers; potential; different; forest; physikalischen
ATMOSPHERIC CIRCULATION RECONSTRUCTION,ATMOSPHERIC CIRCULATION RECONSTRUCTION,1,regeneration; inventory; title forest inventory; title forest; forest inventory; forest; pilzarten; plant biomass; plant; placed; place; plants title
ATMOSPHERIC CARBON MONOXIDE,ATMOSPHERIC CARBON MONOXIDE,1,horizons; turnover; radiocarbon; pool; fractions; contained; carbon; kohlenstoff; oberboden; kohlenstoffs; median; lag
ACTIVE LAYER,ACTIVE LAYER,1,rhizosphere; taraxacum; randomly; trifolium repens; extracellular; repens; land-use intensity gradient; plant species; intensity gradient; hainich; along land-use intensity; glomerata
24 HOUR PRECIPITATION AMOUNT,24 HOUR PRECIPITATION AMOUNT,1,abstract climate; automatically; climate; stations; weather; service; resolution; temporal; german; measured; phytometers; plants grassland
Weather Forecast,Weather Forecast,1,meteorological; air; downward; several grassland; air temperature; uav; wind; humidity; evapotranspiration; calculation; pressure; acquired
